AREA,N,20,5;PERIMETER,N,20,5;GEM_,N,11,0;GEM_ID,N,11,0;SHN,C,12;RAU,C,12;USE,N,2,0;KEY,C,8;GEN,C,50;DES,C,50
0.00182741039282066;0.471615720440336;45;45;0105937106;0105937106;6;01059106;Dollerup;Landgemeinde (amtsangehörig)
0.00416287016718186;0.328167262146312;46;46;0105400076;0105400076;6;01054076;Leck;Landgemeinde (amtsfrei)
0.00184844231594639;0.280297574132197;47;47;0105952173;0105952173;6;01059173;Wallsbüll;Landgemeinde (amtsangehörig)
0.00205489365338532;0.398392087093953;48;48;0105937178;0105937178;6;01059178;Westerholz;Landgemeinde (amtsangehörig)
0.00162420125548971;0.281730416269754;49;49;0105937118;0105937118;6;01059118;Grundhof;Landgemeinde (amtsangehörig)
0.00107398110858908;0.20243064079375;50;50;0105919141;0105919141;6;01059141;Maasbüll;Landgemeinde (amtsangehörig)
0.0011299572798138;0.181228429956353;51;51;0105913147;0105913147;6;01059147;Nieby;Landgemeinde (amtsangehörig)
0.00269354850179289;0.288260653499069;52;52;0105919127;0105919127;6;01059127;Husby;Landgemeinde (amtsangehörig)
0.000828506914699267;0.169383010658555;53;53;0105439046;0105439046;6;01054046;Hörnum (Sylt);Landgemeinde (amtsangehörig)
0.00503312704579928;0.378167270820131;54;54;0105405109;0105405109;6;01054109;Risum-Lindholm;Landgemeinde (amtsangehörig)
0.00266381552089487;0.261240038919742;55;55;0105952158;0105952158;6;01059158;Schafflund;Landgemeinde (amtsangehörig)
0.00317893517487543;0.419948598779132;56;56;0105971153;0105971153;6;01059153;Quern;Landgemeinde (amtsangehörig)
0.0018192452110285;0.449981648337265;57;57;0105971165;0105971165;6;01059165;Steinbergkirche;Landgemeinde (amtsangehörig)
0.00158415348076002;0.250256491488215;58;58;0105433124;0105433124;6;01054124;Sprakebüll;Landgemeinde (amtsangehörig)
0.000643071502944091;0.129998723824879;59;59;0105919101;0105919101;6;01059101;Tastrup;Landgemeinde (amtsangehörig)
0.0027759597693508;0.274299871395996;60;60;0105913112;0105913112;6;01059112;Gelting;Landgemeinde (amtsangehörig)
0.00226214891962204;0.225667903143091;61;61;0105919126;0105919126;6;01059126;Hürup;Landgemeinde (amtsangehörig)
0.000773000032034177;0.213204381495021;62;62;0105913152;0105913152;6;01059152;Pommerby;Landgemeinde (amtsangehörig)
0.00253096874973502;0.220570994778132;63;63;0105952123;0105952123;6;01059123;Hörup;Landgemeinde (amtsangehörig)
0.00281002883062553;0.33350157662518;64;64;0105433125;0105433125;6;01054125;Stadum;Landgemeinde (amtsangehörig)
0.00172933132993069;0.225595561121013;65;65;0105952144;0105952144;6;01059144;Meyn;Landgemeinde (amtsangehörig)
0.00211588445846767;0.298885956558351;66;66;0105405126;0105405126;6;01054126;Stedesand;Landgemeinde (amtsangehörig)
0.00617862007575631;0.414851658945021;67;67;0105900161;0105900161;6;01059161;Sörup;Landgemeinde (amtsfrei)
0.001375557602246;0.319426726142449;68;68;0105971148;0105971148;6;01059148;Niesgrau;Landgemeinde (amtsangehörig)
0.000826394305303624;0.163719563191935;69;69;0105913136;0105913136;6;01059136;Kronsgaard;Landgemeinde (amtsangehörig)
0.00118624964006393;0.20683329595737;70;70;0105419083;0105419083;6;01054083;Midlum;Landgemeinde (amtsangehörig)
0.00150149559109503;0.25217836381898;71;71;0105419094;0105419094;6;01054094;Oevenum;Landgemeinde (amtsangehörig)
0.00213250168611956;0.275063830325742;72;72;0105919182;0105919182;6;01059182;Freienwill;Landgemeinde (amtsangehörig)
0.00184477500560547;0.24003847991891;73;73;0105916180;0105916180;6;01059180;Jarplund-Weding;Landgemeinde (amtsangehörig)
0.00498318738998715;0.501907904182291;74;74;0105405022;0105405022;6;01054022;Dagebüll;Landgemeinde (amtsangehörig)
0.00174049686539697;0.176364627646228;75;75;0105952149;0105952149;6;01059149;Nordhackstedt;Landgemeinde (amtsangehörig)
